,itemId,userId,rating,class,comment
0,1,1,2,1,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.
1,1,2,3,3,This kindle is light and easy to use especially at the beach!!!
2,1,3,2.5,2,"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark"
3,1,4,3,3,"I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last."
4,1,5,3,3,Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.
5,1,6,3,3,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.
6,1,7,3,3,"I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com."
7,1,8,2.5,1,I bought my Kindle about 2 months ago and the battery is already dead and will not charge
8,1,9,3,3,"amazon kindle is always the best ebook, upgrade every new model"
9,1,10,3,3,"It's beyond my expectation, and it can even show music score. Not fast turning though."
10,1,11,3,3,If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.
11,2,12,3,3,Great Gift for anyone. Very easy to setup. Coexist with all IOT Devices. Alexa is AWESOME!
12,2,13,3,3,Super excited to give this as a gift. It's super convenient that Best Buy has Echo products in store instead of having to purchase from Amazon.
13,2,14,3,3,"We bought this for mother in law, buying another for me."
14,2,15,3,3,"Well designed, good sound, has everything Alexa has plus the HD video. Always ready with answers with associated video or text if applicable. Can show movie trailers, can also watch Amazon video. Excellent on-demand security video with Amazon compatible cameras. Voice activated message and/or video calls to Amazon Show owners or Alexa App holders. Highly recommended."
15,2,16,3,3,I have one Alexa and three Echo dots and having Echo Show now is awesome!
16,2,17,3,3,Omg I love my amazon show it is sooo cool and does a lot of cool stuff
17,2,18,3,3,Great looking design. Amazon Echo Show was easy to set up and use.
18,2,19,3,3,The product is very entertaining and useful. Would recommend it to anyone.
19,2,20,2.5,2,Got it for few weeks but it kind of fades away from your life.
20,2,21,2.5,3,This device is awesome ‘ really lets you get very excited about smart home technology ‘ I’m buying a second one for my upstairs
21,2,22,2.5,3,Overall product is excellent. Speakers should have a capability to be used as Bluetooth speakers like the echo.
22,3,23,3,3,A lazy mans drean when it is combined with Alexa. If you get the harmony hub you can really impress with home automation
23,3,24,3,3,I really enjoy my Fire stick. It's really easy to use.
24,3,25,3,3,Really cool device! Instantly noticed the difference in quality when I switched from the regular Fire Stick to the Fire TV with 4k.
25,3,26,3,3,Love it! Works great. One in each of the main rooms.
26,4,27,3,3,Works great. Turns H&A up and down. Tv on and off. Lights on and off. All from Alexa. You do have to have apps and special lights.
27,4,28,3,3,I LOVE Alexa and my Echo device (and Smart Bulb) so much I bought 4 more Echos and 8 more bulbs with more to come soon...
28,4,29,3,3,"So I went to the store, purchased and gifted.it was a snap."
29,4,30,3,3,"Love the convenience of being able to turn on a light or other appliances connected to smart switches with voice commands. Also very convenient music streaming, news and weather reports."
30,4,31,3,3,"We replaced our old echo for this one with a smart hub, works great"
31,4,32,3,3,Speaker was used as a giveaway and everyone wanted it! It was a huge hit at our conference. Would buy again.
32,4,33,3,3,I bought this for my moms birthday and she loves it.
33,4,34,3,3,I like this smart machine and will recommend to my friends
34,4,35,3,3,"purchased this product while was on sale, very easy to pair, looks well made, very happy with it."
35,4,36,3,3,Love it. It’s a lot of fun. Great speakers too provides a lot of great information and fun too!
36,4,37,3,3,"Really enjoying this device so far,,,my smart phone is basic Tracfone...currently adding smart lighting...will probably switch to a tablet for controlling and adding to a future (limited) smart home"
37,5,38,3,3,I needed a second charger (for traveling) for my Kindle Fire that was a fast charger. This worked great. It charges my Kindle fire in just a few hours.
38,5,39,3,3,This solved the problem of my daughter's lost kindle charger.
39,5,40,3,3,I found that I was immediately sked by a staff member if I needed help. I received good advice and shown similar alternative products. What I bought was perfect for what I wanted. The price was quite reasonable.
40,5,41,3,3,Best kindle charger ever. Took 30 minutes to being my kindle back to life.
41,5,42,3,3,Great product for quickly charging your Kindle!!!!
42,5,43,2,3,I bought this because the package said it was a fast charger only to find it charges at normal speed... That was disappointing. I'm pretty sure I'm not doing anything wrong. It seems pretty self explanatory... :/
43,5,44,3,3,"Tried different charging blocks, nothing worked properly. Plugged in the Amazon block, Kindle came right up."
44,5,45,3,3,Quickly charges kindle so son can use it. Worked great right out of the package
45,5,46,3,3,just bought. seems to be working great so far. not sure how long it will last.
46,5,47,3,3,Good one and working without any issues. Slim and portable
47,5,48,3,3,"This works well, charges book readers quickly and easily"
48,6,49,2.5,3,Good product for a young child to play with without breaking
49,6,50,3,3,"My daughter (4) she loves it. Easy to navigate, hard to break."
50,6,51,2.5,3,Great device and easy setup.The ease of use for the kids are also great.
51,6,52,3,3,I bought two tablets for you little ones and they love them. I would recommend.
52,6,53,2,2,You get what you pay for. Playtime works when it wants to. Went on a long trip and the videos we downloaded had issues playing most of the time. My son is almost 2. He gets bored of it quickly. The pros are the price and it is well protected externally.
53,6,54,3,3,This is the best tablet I've ever purchased. The screen is amazing and very functional and the kid mode is easy to get to and my 5 year old loves it makes me jealous and want to get a kindle but that's ok I can use parent most while he's sleeping. All over a really good tablet for both parent and child
54,6,55,3,3,Got this for my daughter 2nd birthday and she absolutely love it.
55,8,56,3,3,I've had kindles for years and this latest one is also right up at the top
56,6,57,3,3,Bought this for my six year old grandson. The set up was very easy. He is able to download kids only stuff and can send us videos of himself using the app. He just loves it. Truly kid friendly.
57,8,58,3,3,It has a great camera and I really enjoy my games and Facebook on this larger screen than my phone. I love not using my data up on my phone.
58,6,59,3,3,"Got this for my 18 month old son so that he can watch movies on our trip to LA and he loved it. Lots of games, apps and much more. Still learning more features about this product and we love it too."
59,7,60,3,3,My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.
60,6,61,3,3,My son is 3 and he loves it so easy to use. It's great.
61,9,62,1,1,"Would not take a charge, good thing i tried before wrapping it for Christmas."
62,8,63,3,3,"For the money I highly recommended it. It is great when linked to Netflix, Disney Movies, etc"
63,9,64,3,3,"I got this for my daughter, she enjoy playing this"
64,6,65,1,1,"Cumbersome, complicated and not kid friendly..... went with Apple, suggesting you do too."
65,7,66,2.5,3,"UI is not smooth, it flickers sometimes. Overall a thumbs up from me"
66,9,67,3,3,My son love it. He watch his favorite cartoon shows and love to read books
67,8,68,3,3,I am using it for my 3 year old and she loves it..
68,9,69,3,3,Great for little kids who have a problem with breaking stuff.
69,6,70,3,3,This is great product. The tablet are made tough and great price.
70,9,71,3,3,"My 3 and 2 year old download their own games.Easy to set up and get working. Thanks to parental Control, I know what they are downloading"
