,reviewId,itemId,userId,rating,sentiment_score_norm
0,0,19,2976,3,3.5
1,1,19,3339,5,3.5
2,2,19,1472,4,3.0
3,3,19,603,5,5.0
4,4,19,332,5,5.0
5,5,19,753,5,4.5
6,6,19,2421,5,5.0
7,7,19,3388,4,2.5
8,8,19,3286,5,3.5
9,9,19,2849,5,2.5
10,10,19,643,5,4.5
11,11,19,2978,5,4.5
12,12,19,370,5,3.5
13,13,19,688,5,3.0
14,14,19,3421,5,4.0
15,15,19,2413,3,3.0
16,16,19,2607,5,4.0
17,17,19,3526,4,3.5
18,18,19,2902,5,4.0
19,19,19,2964,4,5.0
20,20,19,1236,1,3.0
21,21,19,1839,4,4.5
22,22,19,2956,5,5.0
23,23,19,1971,4,3.5
24,24,19,2781,4,4.0
25,25,19,3742,5,4.5
26,26,19,1078,5,4.0
27,27,19,1514,5,4.0
28,28,19,3191,5,3.5
29,29,19,2022,4,4.5
30,30,19,443,4,3.5
31,31,19,2084,4,4.0
32,32,19,2221,4,3.5
33,33,19,848,5,3.5
34,34,19,2343,4,4.0
35,35,19,2798,4,3.0
36,36,19,3042,5,4.5
37,37,19,1298,5,3.0
38,38,19,3607,5,5.0
39,39,19,2059,5,4.0
40,40,19,2902,5,3.5
41,41,19,3774,5,3.5
42,42,19,81,5,4.0
43,43,19,1688,5,4.5
44,44,19,439,4,5.0
45,45,19,2171,5,3.5
46,46,19,269,4,4.0
47,47,19,3726,5,3.0
48,48,19,509,4,3.5
49,49,19,3176,4,3.5
50,50,19,2880,5,4.0
51,51,19,3814,3,3.5
52,52,19,3405,4,4.5
53,53,19,217,5,4.5
54,54,19,2032,5,4.5
55,55,19,1181,5,3.5
56,56,19,263,5,3.5
57,57,19,2875,5,5.0
58,58,19,2368,5,3.0
59,59,19,1095,5,4.0
60,60,19,989,4,3.0
61,61,19,442,5,3.5
62,62,19,1871,4,4.0
63,63,19,3511,5,4.0
64,64,19,626,5,3.5
65,65,19,3483,5,3.0
66,66,19,1401,5,5.0
67,67,19,716,5,5.0
68,68,19,3306,5,4.5
69,69,19,3714,4,4.0
70,70,19,2570,1,4.5
71,71,19,443,4,3.5
72,72,19,880,3,1.5
73,73,19,1779,5,3.5
74,74,19,2902,5,4.0
75,75,19,1003,4,3.0
76,76,19,835,5,4.0
77,77,19,2294,4,5.0
78,78,19,2455,3,2.5
79,79,19,2173,4,5.0
80,80,19,2330,2,3.0
81,81,19,2875,5,3.5
